redirect,70350
question,68913
mark,53556
unicode,86940
symbol,81838
proportionality,67914
mathematics,53973
mathematical,53969
equation,31557
uses,87663
060,412
disambiguation,27603
file,34156
svg,81605
thumb,83878
300px,4078
jpg,46670
union,86992
pacific,62811
display,27896
california,18025
state,79715
railroad,69311
museum,57668
sacramento,73689
whyte,90620
notation,59943
classification,21058
steam,79882
locomotive,51477
nowrap,60073
represents,71371
wheel,90470
arrangement,11140
leading,49943
powered,66799
coupled,23897
driving,29033
axles,12511
trailing,84967
common,22183
used,87647
tender,83066
rail,69303
tank,82440
versions,88507
cylinder,25032
inside,44575
outside,62078
cylinders,25033
britain,16801
electric,30374
diesel,27296
locomotives,51478
rod,72651
wheels,90479
ref,70442
en,30873
internal,44924
combustion,22031
equivalent,31589
classifications,21059
uic,86391
known,48270
german,37311
italian,45627
french,35743
030,269
turkish,85885
33,4253
swiss,81774
russian,73438
popular,66420
europe,32246
written,91518
rods,72683
gears,36958
independently,43945
driven,29022
toc,84352
limit,50904
overview,62267
history,41605
configuration,22684
widely,90646
type,86133
switcher,81780
lack,49041
weight,90187
pressing,67297
consequently,22904
high,41303
effort,30134
factor,33071
adhesion,7824
making,52882
comparatively,22269
strong,80546
engines,31119
size,77469
fuel,36010
consumption,23075
hand,39879
result,71689
stable,79414
speed,78872
trains,84979
unnecessary,87152
pull,68361
fairly,33155
heavy,40684
albeit,8755
slowly,77827
commonly,22194
short,76728
medium,54720
distance,28009
freight,35725
transport,85141
pickup,65169
goods,38195
main,52787
line,50960
railway,69316
branch,16427
engine,31113
switching,81782
smaller,77868
types,86146
large,49434
versatile,88499
job,46440
larger,49438
big,14826
economical,29883
usable,87605
lightly,50821
built,17260
railways,69318
dockyard,28324
yard,91928
precisely,67015
sorts,78508
places,65549
needed,58669
earliest,29652
simpler,77246
construct,23033
maintain,52815
designers,26800
began,14015
overcome,62131
problem,67595
breakage,16548
crank,24119
pattern,63851
adopted,7942
particularly,63567
uk,86404
mid,55537
1850s,1915
1860s,1929
bertram,14496
baxter,13710
british,16811
catalogue,19005
1825,1883
1923,2024
vol,89214
moorland,56860
publishing,68310
1977,2098
early,29654
examples,32481
hackworth,39583
royal,73138
george,37249
1827,1885
1803,1854
1853,1918
right,72254
recorded,70221
example,32480
timothy,84156
stockton,80187
darlington,25449
included,43844
vulcan,89382
charles,19937
company,22259
1835,1895
leicester,50228
hector,40713
long,51621
boiler,15749
kitson,48108
1845,1907
york,92174
north,59850
midland,55566
science,74906
1850,1914
1958,2070
derwent,26710
william,90827
alfred,8925
preserved,67249
centre,19514
usage,87610
major,52852
continental,23170
0s,635
sort,78494
usually,87752
proportions,67919
united,87028
kingdom,47967
states,79752
european,32248
largely,49436
restricted,71674
station,79778
pilot,65301
duties,29418
haul,40379
passenger,63672
lines,50980
powerful,66800
tended,83063
favoured,33528
australia,12152
new,58965
south,78601
wales,89554
class,21041
victorian,88675
collection,21786
includes,43845
seven,76052
including,43846
1904,1995
saddle,73718
tanks,82444
finland,34325
image,43393
handcrafted,39885
live,51245
scale,74573
model,56387
finnish,34339
vr,89357
numbered,60244
530,5201
544,5240
656,5622
670,5653
787,6073
799,6107
operational,61336
1913,2010
1975,2096
ag,8265
nicknamed,59289
chicken,20247
number,60239
669,5649
1400,1272
1423,1303
originally,61628
iron,45365
works,91322
usa,87602
modified,56434
2s,4047
1951,2062
1955,2067
classified,21060
left,50104
restored,71662
c1,17768
21,2925
classes,21045
c2,17775
c3,17784
c4,17786
c5,17790
c6,17792
30,4058
1869,1938
1926,2027
neilson,58748
second,75387
oldest,61025
eighteen,30215
31,4137
43,4792
48,4995
52,5174
74,5902
75,5943
thirteen,83729
62,5548
78,6050
89,6587
fourteen,35437
101,672
114,878
1881,1957
1930,2033
hannover,39986
110,818
solitary,78316
100,637
zealand,92458
design,26780
hunslet,42635
1874,1946
provided,68066
1872,1944
1888,1964
prolific,67807
surviving,81490
entire,31319
era,31596
operations,61338
88,6558
africa,8218
cape,18406
gauge,36800
1876,1948
government,38357
cgr,19660
placed,65540
pair,62976
stephenson,79998
patent,63747
permanently,64525
service,75963
eastern,29711
worked,91298
east,29704
london,51601
comparative,22268
trials,85343
experimental,32718
fairlie,33153
acquired,7632
year,91987
holland,41854
rp,73161
25,3350
28,3620
150,1408
pages,62920
22,3035
list,51109
talk,82319
1879,1951
hb,40507
natal,58293
john,46489
milne,55799
harbours,40069
department,26552
single,77318
named,58127
durban,29378
harbour,40066
120,978
126,1071
129,1109
131,1149
paxton,63959
bourne,16214
1880,1955
later,49594
designated,26782
ngr,59220
virtually,88969
identical,43073
manufacturer,53279
1882,1958
entered,31285
private,67547
port,66523
rebuilt,70022
1884,1960
80,6135
83,6310
1890,1968
netherlands,58870
african,8222
nederlandsche,58663
zuid,92722
maatschappij,52379
transvaal,85158
republic,71407
18,1844
construction,23036
work,91291
1896,1975
1897,1976
ppr,66854
26,3450
pretoria,67348
hawthorn,40451
leslie,50413
obtained,60621
recently,70066
established,31939
came,18130
sar,74249
stock,80166
1912,2008
survived,81488
1940s,2047
118,930
renumbering,71237
lists,51172
issued,45590
chief,20255
mechanical,54582
engineer,31115
office,60823
january,46014
pp,66834
11,817
13,1129
reprinted,71382
april,10584
1987,2111
sats,74400
3125,4163
1000,638
1901,1992
edward,30071
innes,44486
clarke,21021
delivered,26281
retained,71737
taken,82275
roster,72996
1902,1993
supplied,81354
board,15613
1930s,2034
125,1055
sir,77370
albert,8758
withdrawn,91045
1915,2012
narrow,58241
1871,1943
railgauge,69307
lk,51310
shropshire,76872
1870,1941
good,38168
hope,42103
copper,23429
mining,55913
king,47966
miner,55869
enter,31283
hitherto,41640
mule,57444
mines,55877
colony,21912
orenstein,61554
koppel,48437
arthur,11238
acting,7671
agent,8299
imported,43656
customer,24927
purchased,68450
ng,59207
1903,1994
assimilated,11639
1917,2014
sent,75797
west,90336
world,91330
war,89690
campaign,18166
territory,83251
232,3182
111,838
112,851
157,1510
namibia,58138
krauss,48583
factory,33076
picture,65185
73,5866
1899,1978
1898,1977
1905,1996
pairs,62981
twin,86050
windhoek,90890
deutsch,26972
südwest,82039
afrika,8232
small,77866
germany,37326
late,49588
19th,2132
20th,2857
centuries,19533
indicated,44003
twins,86073
designed,26798
semi,75699
cabs,17841
allowing,9120
crew,24254
control,23249
shared,76333
running,73392
units,87037
1922,2023
took,84530
swa,81619
absorbed,7333
24,3251
117,917
121,999
1907,1998
administration,7891
hc,40516
1910,2004
1929,2031
116,904
switzerland,81785
ii,43249
converted,23301
extremely,32889
century,19536
numbers,60247
943,6726
ramsbottom,69482
dx,29476
1858,1923
western,90355
lancashire,49221
yorkshire,92179
standardisation,79567
mass,53837
production,67665
historic,41575
pocket,65917
book,15920
batsford,13638
1960,2074
23,3158
sr,79309
q1,68656
sheffield,76446
park,63442
total,84726
standard,79566
operating,61332
1900,1989
20,2185
000,1
ultimate,86468
austerity,12144
developed,27004
southern,78623
great,38678
produced,67654
similarly,77224
companies,22254
emerge,30714
act,7666
1921,2022
grouping,38987
vast,88194
particular,63565
characteristically,19891
form,35257
remained,71059
past,63696
nationalization,58343
nationalisation,58332
1948,2057
introduced,45099
03,268
light,50803
08,498
09,538
heavier,40681
america,9479
huge,42515
majority,52857
usra,87730
smallest,77869
brief,16723
railroads,69314
255,3405
ended,31001
hands,39928
dozen,28824
addition,7780
numerous,60258
copies,23421
pennsylvania,64322
200,2186
years,92018
classed,21043
generally,37078
fewer,33956
514,5158
davenport,25614
use,87646
transportation,85143
corps,23579
army,11082
having,40420
countries,23849
austria,12164
egypt,30180
france,35523
iraq,45319
yugoslavia,92260
1946,2053
1960s,2075
easy,29727
wheelbase,90471
allowed,9118
operate,61328
suffixes,81038
suffix,81036
indicates,44004
include,43843
vertical,88520
0f,629
geared,36956
transmission,85113
torque,84665
converter,23302
hydraulic,42763
references,70498
reflist,70536
30em,4131
external,32846
links,51030
commons,22196
category,19061
http,42466
www,91617
com,21990
3003,4067
html,42459
building,17255
site,77416
1914,2011
drawing,28926
fc,33571
kaiserslautern,47041
refimprove,70513
date,25558
june,46827
2013,2289
dmy,28265
dates,25578
infobox,44277
football,35080
club,21348
clubname,21360
logo,51535
150px,1427
crest,24245
current,24851
2015,2313
16,1559
season,75286
fullname,36077
fußball,36241
nickname,59288
die,27282
roten,73018
red,70296
devils,27034
founded,35414
start,79654
ago,8367
df,27097
yes,92082
ground,38960
fritz,35866
walter,89629
stadion,79438
br,16340
capacity,18401
49,5027
780,6051
chairman,19710
manager,53057
league,49955
bundesliga,17360
position,66610
10th,815
pattern_la1,63857
pattern_b1,63853
pattern_ra1,63861
pattern_sh1,63866
pattern_so1,63870
leftarm1,50107
cc0000,19249
body1,15685
rightarm1,72257
shorts1,76751
socks1,78196
pattern_la2,63858
pattern_b2,63854
pattern_ra2,63862
pattern_sh2,63867
pattern_so2,63871
leftarm2,50108
000000,4
body2,15686
rightarm2,72258
shorts2,76752
socks2,78197
pattern_la3,63859
pattern_b3,63855
pattern_ra3,63863
pattern_sh3,63868
pattern_so3,63872
leftarm3,50109
ffffff,34004
body3,15687
rightarm3,72259
shorts3,76753
socks3,78198
c0c0c0,17767
website,90113
simply,77258
ipa,45272
ʔɛf,92989
seː,76124
based,13491
rhineland,72064
palatinate,63032
germania,37315
fg,34007
merged,55097
create,24170
1909,2000
went,90297
join,46507
bavaria,13704
fv,36242
sv,81576
finally,34251
taking,82289
won,91192
champions,19772
championships,19774
dfb,27100
pokal,65996
dfl,27108
supercup,81263
1920,2020
stadium,79440
clubs,21363
predecessors,67049
liga,50793
formed,35285
1908,1999
winning,90947
1918,2015
performed,64462
finishing,34318
runners,73387
team,82756
reached,69840
tier,84000
kreisliga,48601
saar,73618
1919,2016
pfalz,64808
bezirksliga,14629
rhein,72050
1931,2035
spent,78908
rest,71632
bouncing,16183
upper,87447
level,50476
gauliga,36807
sixteen,77460
flight,34741
divisions,28187
organization,61584
reich,70797
1988,2112
author,12183
performance,64460
unremarkable,87243
improved,43716
1939,2043
captured,18510
title,84247
lost,51779
overall,62121
division,28181
winners,90945
kickers,47837
offenbach,60804
1941,2048
42,4739
split,79028
hessen,41174
nassau,58284
going,38065
play,65685
time,84087
national,58316
final,34238
rounds,73074
decisively,25914
eventual,32363
schalke,74681
04,318
dominant,28495
slipped,77767
finished,34314
1944,2051
following,35025
saw,74497
collapse,21759
crumbled,24509
advance,7996
allied,9082
armies,11055
postwar,66722
southwestern,78645
occupation,60654
zone,92665
held,40821
teams,82775
organized,61589
northern,59867
played,65693
determine,26923
oberliga,60504
authorities,12212
slow,77821
loosen,51708
zones,92669
nbsp,58544
saarland,73623
areas,10899
longer,51637
parts,63612
country,23851
resumed,71707
1945,2052
63,5567
just,46896
point,65974
saarbrücken,73619
easily,29699
gruppe,39048
nord,59784
1947,2055
2002,2204
brother,16962
ottmar,61908
duo,29340
scored,74976
46,4930
goals,37974
historical,41578
png,65900
350px,4353
logos,51547
pc,64017
ca,17802
1932,2036
1969,2084
wappen,89687
2010,2252
2012,2279
success,80960
1950s,2061
entry,31368
marked,53559
beginning,14024
dominance,28494
capture,18509
times,84111
seasons,75298
advanced,7997
post,66642
nuremberg,60282
presence,67231
scene,74652
capturing,18512
championship,19773
victory,88684
sc,74562
preußen,67355
münster,57941
1953,2065
followed,35021
losing,51774
